Faktura;DOKLAD;Rok;ROK
Faktura;DOKLAD;Dokladová øada;DOKL_RADA
Faktura;DOKLAD;Èíslo dokladu;EVID_CISLO
Faktura;DOKLAD;Variabilní symbol;VAR_SYMBOL
Faktura;DOKLAD;Konstantní symbol;KONST_SYMBOL
Faktura;DOKLAD;Specifický symbol;SPEC_SYMBOL
Faktura;DOKLAD;Rok smlouvy;ROK_SML
Faktura;DOKLAD;Èíslo smlouvy;CISLO_SML
Faktura;DOKLAD;Èíslo položky smlouvy;CISLO_POLOZKY_SML
Faktura;DOKLAD;Osoba/firma;OSOBA
Faktura položka;DOKLAD_POLOZKA;Objekt;DOKLAD_POLOZKA
Finanèní párování;FINANCNI_PAROVANI;Rok Z/P;DOKL_RADA_ZAV_POHL
Finanèní párování;FINANCNI_PAROVANI;Dokladová øada Z/P;ROK_ZAV_POHL
Finanèní párování;FINANCNI_PAROVANI;Èíslo dokladu Z/P;CIS_DOKL_ZAV_POHL
Finanèní párování;FINANCNI_PAROVANI;Èíslo splátky Z/P;CIS_SPLATKY_ZAV_POHL
Bankovní výpis;BANKOVNI_VYPIS_POLOZKY;Variabilní symbol;SPECIFICKY_SYMBOL
Bankovní výpis;BANKOVNI_VYPIS_POLOZKY;Konstantní symbol;ROK_POKL
Bankovní výpis;BANKOVNI_VYPIS_POLOZKY;Specifický symbol;DOKL_RADA_POKL
Bankovní výpis;BANKOVNI_VYPIS_POLOZKY;Rok pokl.;EVID_CISLO_POKL
Bankovní výpis;BANKOVNI_VYPIS_POLOZKY;Dokladová øada pokl.;VARIABILNI_SYMBOL
Bankovní výpis;BANKOVNI_VYPIS_POLOZKY;Èíslo pokl.;KONST_SYMBOL
Bankovní výpis;BANKOVNI_VYPIS_POLOZKY;Èíslo položky pokl.;CISLO_POL_POKL
Bankovní výpis;BANKOVNI_VYPIS_POLOZKY;Osoba/firma;OSOBA
Pokladní doklad;POKLADNI_DOKLAD;Rok;ROK
Pokladní doklad;POKLADNI_DOKLAD;Dokladová øada;DOKL_RADA
Pokladní doklad;POKLADNI_DOKLAD;Èíslo dokladu;EVID_CISLO
